City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,sao jose da coroa grande,-8.8978,-35.1478,23.92,79,41,6.46,BR,1722821039
332,qamdo,31.1667,97.2333,10.98,58,0,0.91,CN,1722821040
333,shindand,33.3029,62.1474,27.12,18,0,2.19,AF,1722821041
334,acarau,-2.8856,-40.12,25.0,83,4,7.09,BR,1722820469
335,zouerate,22.7187,-12.4521,31.07,36,0,6.47,MR,1722821044
336,ukhta,63.5671,53.6835,12.82,99,73,2.33,RU,1722821045
337,conduaga,8.862,117.4893,29.27,73,100,2.68,PH,1722820995
338,afif,23.9065,42.9172,27.48,20,97,2.7,SA,1722821047
339,chui,-33.6971,-53.4616,11.88,84,100,2.31,UY,1722820994
340,metlili chaamba,32.2667,3.6333,29.52,17,0,0.0,DZ,1722820799
341,avsallar,36.616,31.7806,27.18,60,0,3.12,TR,1722821051
342,susuman,62.7833,148.1667,17.33,38,4,2.55,RU,1722821052
343,kamennogorsk,60.9545,29.1339,15.31,97,22,1.81,RU,1722821053
344,argostolion,38.1811,20.489,27.64,38,0,3.37,GR,1722821054
345,tra vinh,9.9347,106.3453,27.29,82,33,2.32,VN,1722821056
346,lhokseumawe,5.1801,97.1507,26.61,80,100,1.3,ID,1722821057
347,turabah,21.2141,41.6331,26.9,53,43,2.56,SA,1722821058
348,weno,7.4515,151.8468,31.97,79,75,4.12,FM,1722820557
349,bonthe,7.5264,-12.505,25.0,85,100,2.17,SL,1722821060
350,nishifukuma,33.7667,130.4667,35.16,66,4,4.01,JP,1722821062
351,prainha,-1.8,-53.48,25.53,55,4,1.51,BR,1722821063
352,bandon,51.7469,-8.7425,17.77,98,100,7.29,IE,1722821064
353,myeik,12.4333,98.6,26.51,83,100,0.79,MM,1722820984
354,patnos,39.2336,42.8634,19.74,47,9,0.68,TR,1722821066
355,puerto colombia,10.9878,-74.9547,29.05,83,100,4.78,CO,1722821068
356,turkmenbasy,40.0222,52.9552,23.43,64,0,2.06,TM,1722820654
357,san luis de la loma,17.2706,-100.8939,26.46,88,100,3.14,MX,1722820761
358,zinjibar,13.1287,45.3807,28.17,76,19,1.61,YE,1722821071
359,chonchi,-42.6128,-73.8092,7.84,98,100,2.41,CL,1722820637
